18130
neatkārtojamai	1
korowo	2
izlūkošanu	2
muha	1
direkcijas	60
mucā	1
videoinstalāciju	2
digitālai	1
helgo	1
dislokācijas	4
digitālas	2
dienvidaustrumeiropā	2
belverts	1
turamies	1
nenovērtējami	1
saslimšanām	10
3	3357
2	3855
nenovērtējamo	1
1	4914
0	1159
saražot	40
7	2540
direkcijai	5
ieraktā	2
6	2543
salienu	1
5	3206
4	2920
saražos	4
lielražošanas	1
kirgīzijā	1
9	2283
8	2367
kapacitāšu	1
nenovērtējams	1
tupināsies	1
noteikuši	14
simtlatniekiem	1
nenovērtējamu	4
trūkumam	1
cietsirdīga	5
cietsirdībā	1
robežojošām	1
dobkevičs	4
ignoranci	2
hānbergs	2
cietsirdīgs	1
times	72
cietsirdīgu	37
rezultatīvai	1
jāsapņo	1
ģinti	1
cietsirdīgi	4
saliena	2
pilsētniekiem	12
vladivostoka	1
balsojumā	65
oriģināllugu	1
f	125
noslēgšanā	4
g	174
d	236
e	354
b	271
ierobežotām	3
c	490
specifikācija	2
a	588
n	125
o	148
l	161
starkam	1
m	227
cauņa	10
j	183
k	334
vagu	1
h	53
starkai	1
ierobežotās	7
i	219
w	18
v	390
u	529
vaga	1
t	154
s	338
r	181
q	4
p	216
stabilizēšanos	4
specifikāciju	1
nomainījās	1
atēnu	20
z	75
y	7
x	40
hānberga	1
baltcom	12
cesvainei	1
baltcon	1
izpildītājmāksliniekiem	1
imidžiem	1
reģistrētajās	2
dvieļus	3
žizņi	1
asiņoja	1
cesvaines	66
atzīmju	5
pārcelšana	10
dolomītu	2
jaunjelgavas	11
kirgīzija	1
vabb	1
neveicas	3
atgriežamies	1
špengelis	1
reģistrētajām	17
vienotie	1
izsūtīto	3
dozens	1
ierosinātajā	12
tiešo	85
bumbieres	3
manabalss	3
špengelim	1
tieši	793
izsūtīts	8
sajaucami	1
niksons	1
liepaskalna	1
verbeļnieki	1
vaal	1
tieša	25
sajaucama	2
much	4
izsūtīti	23
vaaa	1
balsojusi	2
vaad	3
izsūtīta	6
mucu	6
dolomīta	12
kravčeno	1
update	1
rektore	8
rietumeiropas	37
vadu	20
līdzsvarojot	1
liepaskalns	1
koreļičiem	1
arestēt	8
rektora	25
zītars	3
noraidījumiem	2
vads	11
helmi	1
gadsimta	214
rektori	8
vadi	9
zītari	2
kanalizācijai	9
saliedē	1
rektoru	29
rektors	69
nomainīja	18
motīvos	1
